champion name,unranked,bronze,silver,gold,platinum,diamond,master,challenger,total
Yorick,2,1,2,1,0,0,0,0,6
Tryndamere,14,13,20,6,4,1,0,0,58
Taric,5,6,12,4,3,2,0,0,32
Ziggs,2,5,6,4,2,1,0,0,20
Cassiopeia,1,3,4,4,0,0,0,0,12
Kalista,11,9,15,18,7,1,1,0,62
Fiddlesticks,1,4,2,2,4,1,0,0,14
Sivir,8,15,19,17,8,1,0,0,68
Mordekaiser,1,4,5,1,0,0,1,0,12
Corki,5,1,16,18,11,1,0,0,52
Olaf,5,13,9,12,3,2,0,0,44
Karma,6,4,14,7,6,0,0,0,37
Warwick,16,17,16,9,5,1,0,0,64
Rumble,0,4,9,6,2,1,0,0,22
Twitch,5,8,13,13,4,2,0,0,45
Singed,3,1,7,9,4,2,0,0,26
Heimerdinger,5,11,16,3,2,1,0,0,38
Lulu,8,6,24,14,5,2,1,0,60
Teemo,10,26,32,9,3,0,0,0,80
Ryze,10,5,8,5,6,3,0,0,37
Caitlyn,12,23,42,27,13,9,0,0,126
Jayce,1,5,7,3,2,2,1,0,21
Trundle,11,17,39,36,12,8,0,0,123
Viktor,3,5,9,12,2,4,0,0,35
Cho'Gath,5,17,29,21,4,0,0,0,76
Vladimir,4,9,21,11,3,3,0,0,51
Irelia,6,9,13,20,11,0,0,0,59
Urgot,1,0,5,0,0,0,0,0,6
Ashe,9,24,33,9,6,0,0,0,81
Orianna,6,6,18,15,3,4,1,0,53
Aatrox,2,4,10,3,2,1,0,0,22
Draven,5,3,15,15,7,0,0,0,45
Quinn,7,11,22,14,11,2,0,0,67
Sejuani,1,6,8,4,0,0,0,0,19
Nocturne,2,5,16,15,5,0,0,0,43
Kayle,5,4,14,9,10,2,0,0,44
Gragas,1,2,10,9,5,3,0,0,30
Zyra,3,5,6,10,3,1,0,0,28
Jax,16,22,33,26,11,4,0,0,112
Shyvana,4,9,23,9,7,3,0,0,55
Kha'Zix,2,4,11,5,8,0,0,0,30
Anivia,5,5,14,14,7,3,0,0,48
Evelynn,5,6,13,3,2,1,0,0,30
Annie,21,21,34,23,13,0,0,0,112
Fizz,21,19,42,47,16,3,1,0,149
Xerath,2,5,5,8,3,2,0,0,25
Darius,12,19,39,21,9,3,1,0,104
Graves,6,15,28,13,5,4,0,0,71
Zac,4,5,9,7,7,4,0,0,36
Zilean,8,2,6,8,3,3,1,0,31
Garen,20,16,42,31,5,2,1,0,117
Vi,6,14,30,15,10,1,0,0,76
Sona,14,20,31,18,5,0,0,0,88
