summonerId,highestAchievedSeasonTier,avg kills,avg deaths,avg assists,avg performance
37441488,BRONZE,8.0,2.0,0.0,0.6
19216787,BRONZE,4.0,7.0,3.0,0.0
23402458,UNRANKED,3.0,11.0,4.0,-0.2222222222222222
32501545,BRONZE,4.0,9.0,6.0,0.05263157894736842
50914827,BRONZE,3.0,5.0,4.0,0.16666666666666666
47009308,BRONZE,3.0,6.0,0.0,-0.3333333333333333
39106377,GOLD,0.0,1.0,8.0,0.7777777777777778
35931626,UNRANKED,6.0,2.0,5.0,0.6923076923076923
70359779,SILVER,2.0,1.0,2.0,0.6
30016230,SILVER,0.0,6.0,3.0,-0.3333333333333333
49940000,GOLD,0.0,2.0,1.0,-0.3333333333333333
50515989,GOLD,3.0,2.0,0.0,0.2
22619687,PLATINUM,3.0,6.0,10.0,0.3684210526315789
28968597,PLATINUM,13.0,4.0,2.0,0.5789473684210527
36199139,SILVER,17.0,5.0,8.0,0.6666666666666666
51066545,PLATINUM,0.0,4.0,13.0,0.5294117647058824
71049722,GOLD,9.0,9.0,7.0,0.28
21622594,GOLD,2.0,10.0,3.0,-0.3333333333333333
21493621,GOLD,2.0,10.0,4.0,-0.25
32952972,GOLD,5.0,6.0,2.0,0.07692307692307693
395044,GOLD,18.0,3.0,8.0,0.7931034482758621
22936712,GOLD,5.0,5.0,11.0,0.5238095238095238
22106311,UNRANKED,5.0,4.0,14.0,0.6521739130434783
40542459,GOLD,7.0,4.0,7.0,0.5555555555555556
25357873,DIAMOND,13.0,5.0,15.0,0.696969696969697
436223,GOLD,3.0,7.0,3.0,-0.07692307692307693
47892415,PLATINUM,0.0,3.0,21.0,0.75
65041072,PLATINUM,0.0,9.0,11.0,0.1
20786412,PLATINUM,8.0,11.0,2.0,-0.047619047619047616
36930882,PLATINUM,7.0,9.0,2.0,0.0
72409418,UNRANKED,3.0,8.0,5.0,0.0
23228521,GOLD,4.0,3.0,6.0,0.5384615384615384
63949644,SILVER,3.0,3.0,6.0,0.5
21239439,UNRANKED,10.0,2.0,5.0,0.7647058823529411
35234851,GOLD,7.0,7.0,3.0,0.17647058823529413
53581005,SILVER,5.0,4.0,13.0,0.6363636363636364
60848974,GOLD,5.0,1.0,16.0,0.9090909090909091
21594423,GOLD,1.0,5.0,10.0,0.375
21355680,SILVER,4.0,9.0,5.0,0.0
72749216,GOLD,5.0,8.0,4.0,0.058823529411764705
19943408,UNRANKED,12.0,7.0,7.0,0.46153846153846156
31587054,PLATINUM,6.0,6.0,11.0,0.4782608695652174
45507228,GOLD,8.0,14.0,8.0,0.06666666666666667
32613260,GOLD,6.0,11.0,8.0,0.12
24818971,UNRANKED,4.0,12.0,5.0,-0.14285714285714285
34953242,SILVER,3.0,7.0,1.0,-0.2727272727272727
23775293,SILVER,0.0,5.0,5.0,0.0
36091054,SILVER,3.0,8.0,3.0,-0.14285714285714285
45828594,SILVER,5.0,7.0,2.0,0.0
51104942,BRONZE,1.0,5.0,3.0,-0.1111111111111111
44955780,UNRANKED,0.0,2.0,12.0,0.7142857142857143
51799867,SILVER,6.0,4.0,6.0,0.5
56931533,GOLD,2.0,7.0,6.0,0.06666666666666667
24535551,UNRANKED,6.0,3.0,8.0,0.6470588235294118
47674930,SILVER,7.0,7.0,3.0,0.17647058823529413
33121509,GOLD,4.0,2.0,8.0,0.7142857142857143
79770,SILVER,2.0,5.0,19.0,0.6153846153846154
45634137,GOLD,14.0,9.0,8.0,0.41935483870967744
24679233,BRONZE,7.0,8.0,7.0,0.2727272727272727
49961697,SILVER,0.0,8.0,9.0,0.058823529411764705
21082483,SILVER,6.0,11.0,5.0,0.0
37465889,SILVER,7.0,8.0,9.0,0.3333333333333333
55453345,SILVER,10.0,2.0,11.0,0.8260869565217391
20894754,SILVER,6.0,10.0,10.0,0.23076923076923078
38925810,SILVER,5.0,6.0,10.0,0.42857142857142855
36511693,GOLD,2.0,6.0,10.0,0.3333333333333333
34007359,GOLD,2.0,3.0,16.0,0.7142857142857143
21801710,UNRANKED,5.0,8.0,2.0,-0.06666666666666667
20502389,UNRANKED,5.0,4.0,4.0,0.38461538461538464
31926463,GOLD,0.0,5.0,14.0,0.47368421052631576
30529015,GOLD,4.0,8.0,7.0,0.15789473684210525
59722630,PLATINUM,6.0,5.0,11.0,0.5454545454545454
38209317,PLATINUM,8.0,6.0,8.0,0.45454545454545453
31433127,PLATINUM,4.0,10.0,6.0,0.0
72741035,UNRANKED,5.0,13.0,8.0,0.0
20882249,GOLD,5.0,13.0,6.0,-0.08333333333333333
39800161,PLATINUM,13.0,7.0,3.0,0.391304347826087
23962653,GOLD,12.0,4.0,7.0,0.6521739130434783
64779124,PLATINUM,9.0,7.0,10.0,0.46153846153846156
71459416,UNRANKED,4.0,4.0,11.0,0.5789473684210527
19795230,GOLD,2.0,6.0,3.0,-0.09090909090909091
20003399,PLATINUM,0.0,8.0,7.0,-0.06666666666666667
24836819,GOLD,9.0,9.0,6.0,0.25
44244863,GOLD,11.0,8.0,7.0,0.38461538461538464
56835834,GOLD,6.0,2.0,4.0,0.6666666666666666
30193996,SILVER,2.0,3.0,12.0,0.6470588235294118
37455146,SILVER,14.0,6.0,7.0,0.5555555555555556
35093447,GOLD,6.0,5.0,11.0,0.5454545454545454
43351194,SILVER,2.0,9.0,4.0,-0.2
35074953,SILVER,7.0,10.0,4.0,0.047619047619047616
43132845,SILVER,2.0,9.0,16.0,0.3333333333333333
49739978,GOLD,12.0,9.0,10.0,0.41935483870967744
61670551,SILVER,7.0,10.0,15.0,0.375
44410378,UNRANKED,8.0,3.0,4.0,0.6
43982917,SILVER,9.0,2.0,12.0,0.8260869565217391
40898999,GOLD,13.0,12.0,5.0,0.2
29753239,PLATINUM,6.0,10.0,12.0,0.2857142857142857
37809346,GOLD,8.0,11.0,6.0,0.12
45519722,GOLD,10.0,4.0,10.0,0.6666666666666666
43082868,PLATINUM,8.0,4.0,7.0,0.5789473684210527
27259227,GOLD,7.0,5.0,16.0,0.6428571428571429
23144035,GOLD,6.0,9.0,6.0,0.14285714285714285
26651129,UNRANKED,10.0,4.0,11.0,0.68
26694389,PLATINUM,8.0,6.0,7.0,0.42857142857142855
22483476,GOLD,1.0,3.0,27.0,0.8064516129032258
40520173,GOLD,1.0,10.0,11.0,0.09090909090909091
27401924,PLATINUM,6.0,9.0,4.0,0.05263157894736842
30369975,GOLD,3.0,6.0,5.0,0.14285714285714285
