"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2016,12,"AA","American Airlines Inc.","MSP","Minneapolis, MN: Minneapolis-St Paul International",739.00,180.00,60.05,4.90,70.35,0.44,44.26,7.00,1.00,9834.00,3461.00,233.00,3230.00,16.00,2894.00,
2016,12,"AA","American Airlines Inc.","STL","St. Louis, MO: Lambert-St. Louis International",678.00,122.00,48.08,4.10,24.09,0.38,45.34,5.00,0.00,6703.00,2560.00,199.00,890.00,82.00,2972.00,
2016,12,"AA","American Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",11157.00,1920.00,577.14,71.63,537.98,8.40,724.85,55.00,11.00,133517.00,50609.00,7939.00,18906.00,364.00,55699.00,
2016,12,"AA","American Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",3394.00,1040.00,231.73,31.14,601.52,1.98,173.64,20.00,18.00,66107.00,17961.00,3303.00,30090.00,36.00,14717.00,
2016,12,"AA","American Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",5037.00,1016.00,275.69,19.91,418.08,3.04,299.28,112.00,6.00,68522.00,21631.00,2917.00,19234.00,194.00,24546.00,
2016,12,"AA","American Airlines Inc.","MCO","Orlando, FL: Orlando International",1572.00,336.00,124.41,8.32,88.47,2.51,112.28,7.00,2.00,20513.00,6536.00,777.00,3761.00,102.00,9337.00,
2016,12,"AA","American Airlines Inc.","KOA","Kona, HI: Kona International Airport at Keahole",83.00,30.00,12.97,0.00,11.86,0.00,5.17,0.00,0.00,2637.00,1350.00,0.00,441.00,0.00,846.00,
2016,12,"AA","American Airlines Inc.","MIA","Miami, FL: Miami International",4612.00,968.00,321.44,31.59,360.48,2.90,251.60,15.00,11.00,55897.00,22631.00,2778.00,11731.00,162.00,18595.00,
2016,12,"AA","American Airlines Inc.","JFK","New York, NY: John F. Kennedy International",1511.00,291.00,96.85,2.85,68.82,0.28,122.20,1.00,1.00,20562.00,6550.00,748.00,2704.00,12.00,10548.00,
2016,12,"AA","American Airlines Inc.","SFO","San Francisco, CA: San Francisco International",1270.00,469.00,84.10,8.21,302.03,0.00,74.66,13.00,14.00,26313.00,5810.00,911.00,14522.00,0.00,5070.00,
2016,12,"AA","American Airlines Inc.","LAS","Las Vegas, NV: McCarran International",1174.00,319.00,92.06,10.78,127.35,1.69,87.13,6.00,0.00,19454.00,5750.00,1532.00,4698.00,85.00,7389.00,
2016,12,"AA","American Airlines Inc.","MEM","Memphis, TN: Memphis International",198.00,33.00,11.53,0.00,5.57,0.67,15.24,1.00,2.00,1910.00,715.00,0.00,111.00,14.00,1070.00,
2016,12,"AA","American Airlines Inc.","BOS","Boston, MA: Logan International",1884.00,296.00,98.77,10.97,79.17,0.00,107.09,17.00,1.00,16602.00,5003.00,713.00,3315.00,0.00,7571.00,
2016,12,"AA","American Airlines Inc.","PDX","Portland, OR: Portland International",327.00,107.00,34.67,5.40,39.88,0.00,27.05,3.00,2.00,8743.00,3466.00,1753.00,1123.00,0.00,2401.00,
